factory_no,machine_no,part_no,serial_no,timestamp,status
5,1,a42CLDR,a42CLDR0156661577879108,1577879108,beta_engine
5,1,a42CLDR,a42CLDR0156661577860220,1577860220,beta_engine
5,1,a42CLDR,a42CLDR0156661577860684,1577860684,beta_engine
5,1,a42CLDR,a42CLDR0156661577937801,1577937801,beta_engine
5,1,a42CLDR,a42CLDR0156661577862847,1577862848,beta_engine
5,1,a42CLDR,a42CLDR0156661577912053,1577912054,beta_engine
5,1,a42CLDR,a42CLDR0156661577873027,1577873027,beta_engine
5,1,a42CLDR,a42CLDR0156661577873207,1577873208,beta_engine
5,1,a42CLDR,a42CLDR0156661577906844,1577906844,beta_engine
5,1,a42CLDR,a42CLDR0156661577886978,1577886979,beta_engine
5,1,a42CLDR,a42CLDR0156661577881043,1577881044,beta_engine
5,1,a42CLDR,a42CLDR0156661577898525,1577898525,beta_engine
5,1,a42CLDR,a42CLDR0156661577895356,1577895356,beta_engine
5,1,a42CLDR,a42CLDR0156661577922744,1577922744,beta_engine
5,1,a42CLDR,a42CLDR0156661577916414,1577916415,beta_engine
5,1,a42CLDR,a42CLDR0156661577899796,1577899797,beta_engine
5,1,a42CLDR,a42CLDR0156661577901276,1577901277,beta_engine
5,1,a42CLDR,a42CLDR0156661577930425,1577930425,beta_engine
5,1,a42CLDR,a42CLDR0156661577878619,1577878620,beta_engine
5,1,a42CLDR,a42CLDR0156661577995267,1577995268,beta_engine
5,1,a42CLDR,a42CLDR0156661577948312,1577948312,beta_engine
5,1,a42CLDR,a42CLDR0156661578009668,1578009669,beta_engine
5,1,a42CLDR,a42CLDR0156661578028334,1578028335,beta_engine
5,1,a42CLDR,a42CLDR0156661577999541,1577999541,beta_engine
5,1,a42CLDR,a42CLDR0156661577999215,1577999216,beta_engine
5,1,a42CLDR,a42CLDR0156661577951084,1577951084,beta_engine
5,1,a42CLDR,a42CLDR0156661577951080,1577951081,beta_engine
5,1,a42CLDR,a42CLDR0156661578009059,1578009060,beta_engine
5,1,a42CLDR,a42CLDR0156661577946542,1577946542,beta_engine
5,1,a42CLDR,a42CLDR0156661577984028,1577984029,beta_engine
5,1,a42CLDR,a42CLDR0156661577993872,1577993873,beta_engine
5,1,a42CLDR,a42CLDR0156661577978739,1577978739,beta_engine
5,1,a42CLDR,a42CLDR0156661578026412,1578026413,beta_engine
5,1,a42CLDR,a42CLDR0156661577973258,1577973258,beta_engine
5,1,a42CLDR,a42CLDR0156661577946597,1577946598,beta_engine
5,1,a42CLDR,a42CLDR0156661578023888,1578023888,beta_engine
5,1,a42CLDR,a42CLDR0156661578026559,1578026559,beta_engine
5,1,a42CLDR,a42CLDR0156661578019227,1578019228,beta_engine
5,1,a42CLDR,a42CLDR0156661578056904,1578056904,beta_engine
5,1,a42CLDR,a42CLDR0156661578105679,1578105680,beta_engine
5,1,a42CLDR,a42CLDR0156661578113956,1578113957,beta_engine
5,1,a42CLDR,a42CLDR0156661578084479,1578084480,beta_engine
5,1,a42CLDR,a42CLDR0156661578114126,1578114126,beta_engine
5,1,a42CLDR,a42CLDR0156661578048977,1578048978,beta_engine
5,1,a42CLDR,a42CLDR0156661578068063,1578068063,beta_engine
5,1,a42CLDR,a42CLDR0156661578112734,1578112734,beta_engine
