factory_no,machine_no,part_no,serial_no,timestamp
1,1,a42CLDR,a42CLDR0116661577900475,1577900475.0111716
1,2,b42CLDR,b42CLDR0116661577877697,1577877697.724828
1,3,c42CLDR,c42CLDR0116661577926035,1577926035.8289244
1,4,d42CLDR,d42CLDR0116661577923620,1577923620.8136811
1,5,e42CLDR,e42CLDR0116661577919442,1577919442.635015
1,6,f42CLDR,f42CLDR0116661577880435,1577880435.8662586
1,7,g42CLDR,g42CLDR0116661577933223,1577933223.5640924
1,8,h42CLDR,h42CLDR0116661577914614,1577914614.2255807
1,9,i42CLDR,i42CLDR0116661577910461,1577910461.2714736
1,10,j42CLDR,j42CLDR0116661577887143,1577887143.1662123
2,1,a42CLDR,a42CLDR0126661577933029,1577933029.2346702
2,1,a42CLDR,a42CLDR0126661577872576,1577872576.0754597
2,2,b42CLDR,b42CLDR0126661577898212,1577898212.0798883
2,2,b42CLDR,b42CLDR0126661577918702,1577918702.4341729
2,3,c42CLDR,c42CLDR0126661577941557,1577941557.591832
2,3,c42CLDR,c42CLDR0126661577934974,1577934974.1880069
2,4,d42CLDR,d42CLDR0126661577858595,1577858595.3750446
2,4,d42CLDR,d42CLDR0126661577886742,1577886742.7288122
2,5,e42CLDR,e42CLDR0126661577914319,1577914319.2459345
2,5,e42CLDR,e42CLDR0126661577869543,1577869543.5611088
2,6,f42CLDR,f42CLDR0126661577929082,1577929082.7137876
2,6,f42CLDR,f42CLDR0126661577920372,1577920372.0902522
2,7,g42CLDR,g42CLDR0126661577944472,1577944472.0931072
2,7,g42CLDR,g42CLDR0126661577935064,1577935064.6512957
2,8,h42CLDR,h42CLDR0126661577905363,1577905363.1367083
2,8,h42CLDR,h42CLDR0126661577942940,1577942940.4273984
2,9,i42CLDR,i42CLDR0126661577899553,1577899553.0076237
2,9,i42CLDR,i42CLDR0126661577873118,1577873118.1389174
2,10,j42CLDR,j42CLDR0126661577879686,1577879686.4844077
2,10,j42CLDR,j42CLDR0126661577896506,1577896506.8395655
3,1,a42CLDR,a42CLDR0136661577911133,1577911133.7990918
3,2,b42CLDR,b42CLDR0136661577878995,1577878995.3235364
3,3,c42CLDR,c42CLDR0136661577927672,1577927672.8377945
3,4,d42CLDR,d42CLDR0136661577910509,1577910509.327403
3,5,e42CLDR,e42CLDR0136661577892768,1577892768.605238
